Product Name,Category,Price,Rating,Reviews
amazon basics Artificial Plants with Pot|Realistic Looking| Multi Variety |Durable Plastic | No Maintenance | Home Decor | Dimensions: 5 cm X 13 cm (Pack of 8),Artificial Flora,349.00,4.1,"1,868"
"Dekorly Artificial Potted Plants, 8 Pack Artificial Plastic Eucalyptus Plants Small Indoor Potted Houseplants, Small Faux Plants for Home Decor Bathroom Office Farmhouse (Set 0F 8)",Artificial Flora,289.00,4.2,"10,234"
"perpetual Heart Shaped Gift Box with Teddy and Roses Gift for Valentine Day Birthday Anniversary Red Rose Flower, Teddy and Rose Day Gift for Boyfriend Girlfriend (TeddyBox and Red Rose)",Artificial Flora,299.00,4.9,21
ascension Plastic Red Rose for Valentine Day Gift Artificial Flower Valentine Gifts for Girlfriend Boyfriend Husband Wife Valentine Week Rose Day Gifts Rose Flower for Loved Once,Artificial Flora,129.00,3.7,72
"ORORANY Forever Plastic Rose Gift For Her, Galaxy Glass Rose Flower And Butterfly With Led Light Great Gift Ideas For Valentine's Day, Mother's Day, Birthday, Anniversary, Engagement",Artificial Flora,399.00,4.0,269
"BENAVJI Gold Plated Rose with Soft Ribbon and Quality Box Packing Gifting for Mothers Day, Fathers Day, Daughters Day",Artificial Flora,149.00,5.0,1
TIED RIBBONS 24k Gold Plated Artificial Rose Flower with Box - Valentine Gift for Girlfriend Boyfriend Girls Boys Husband Wife Love Couple,Artificial Flora,199.00,3.9,487
"SATYAM KRAFT 1 Bunch Babys Breath Flowers Bunch Artificial Gypsophila Bouquets Gifting,Corner, Living Room,Christmas,x-mas, Decoration for Wedding (Pack of 1, Blue) (Without Vase)(Fabric)",Artificial Flora,299.00,4.0,"3,155"
"SATYAM KRAFT 3 Pcs Artificial Flowers Small Fake Flower Faux Pampas Fluffy for Home Decor,Office,Bedroom,Valentine's Day Decor,Wedding,Living Room(Without Vase Pot)(Light Brown)(Fabric)(8x41 cm)",Artificial Flora,399.00,4.1,"1,704"
Chocozone Plastic 24K Pink Rose Flower with Romantic I Love You Teddy Bear Valentine Gift for Girlfriend Proposal Gifts,Artificial Flora,149.00,3.5,8
Knotsngifts Crochet Heart Plushie Bouquet,Artificial Flora,269.00,4.9,24
"Litleo Plastic Artificial Plants Mini, Eucalyptus Potted Faux Decorative Grass Plant For Home Decor, Indoor, Office, Desk, Shelf, Table Decoration (Pack Of 4), Green",Artificial Flora,194.00,4.0,"1,893"
"SATYAM KRAFT 1 Pcs Artificial Multiflora Flower Roses Fake Sticks Bunch Decorative Items for Home Decor,Bouquets,Bedroom,Living Room,Wedding,Valentine's Decoration (Without Vase)(Peach, Fabric)",Artificial Flora,299.00,4.1,"2,048"
eCraftIndia Golden Red Rose Flower Showpiece | Rose Day Valentine Gift for Girlfriend Boyfriend Husband Wife Her Him | Valentine Day Decoration Items,Artificial Flora,149.00,3.7,11
fancymart Plastic Pack Of 2 Artificial Vine Plants Falling With Small Size Pot-Natural Touch&Feel Home Décor-Perfect For Home And Office Decoration-Size 45 Cm | Artificial Plant,Artificial Flora,275.00,4.0,325
"HindCraft Chakra Tree, Crystal Tree for Positive Energy - Crystals & Healing Stones - Feng Shui Seven Chakra Tree of Life Decor - Home Decorations for Living Room, 7 Chakra Tree, 200 Beads, 8-10""",Artificial Flora,489.00,4.1,895
"ascension Plastic Valentine's Day Gift Combo Gift for Girlfriend Boyfriend Husband Wife Red Rose with Teddy Gift Box for Valentine Day Lovely Gift Item for Valentine Week, Flower",Artificial Flora,199.00,4.3,26
